build,runs,win_rate,wilson_low,wilson_high,mean_upgrades,mean_essential_spending
endurance/air_hybrid/control/cadence,256,0.83984375,0.7899435699040459,0.8796951638475937,6.5703125,194.85963739253964
reinforced/torpedo/control/cadence,256,0.8359375,0.7856686878987823,0.8762730489131833,6.58984375,227.26263895130725
endurance/air_hybrid/protection/cadence,256,0.83203125,0.7814026427911687,0.8728420970811228,6.390625,197.54630996117223
fast/air_hybrid/economy/precision,256,0.828125,0.7771451946116188,0.8694025483209986,6.6015625,205.21339579211676
aviation/mixed/protection/cadence,256,0.828125,0.7771451946116188,0.8694025483209986,6.5,199.56935124389884
fast/air_hybrid/economy/cadence,256,0.82421875,0.7728961166821191,0.8659546293108245,6.55078125,207.41012782651572
endurance/heavy/protection/precision,256,0.82421875,0.7728961166821191,0.8659546293108245,6.66015625,182.1510340697556
aviation/mixed/protection/precision,256,0.8203125,0.7686551946268473,0.8624985544264222,6.5390625,196.81045231846403
fast/heavy/control/cadence,256,0.8046875,0.7517691603098198,0.8485966009847536,6.87890625,192.47106446835753
endurance/heavy/control/precision,256,0.80078125,0.7475661742791557,0.8451025900757436,6.7734375,179.45525195401686
aviation/mixed/control/cadence,256,0.80078125,0.7475661742791557,0.8451025900757436,6.62109375,198.1634224814301
aviation/mixed/control/precision,256,0.80078125,0.7475661742791557,0.8451025900757436,6.7109375,197.12486402961872
fast/heavy/control/precision,256,0.796875,0.7433702713938375,0.8416014960213878,6.89453125,190.96793674243642
endurance/heavy/control/cadence,256,0.79296875,0.739181302386907,0.8380934680886444,6.7265625,180.1436687958106
reinforced/explosive/control/precision,256,0.7890625,0.7349991250131765,0.8345786485227008,6.72265625,214.1197715848643
aviation/heavy/protection/cadence,256,0.78125,0.7266546087275632,0.827529170928966,6.5078125,195.0367402108996
aviation/heavy/protection/precision,256,0.77734375,0.7224920167029331,0.8239947660139223,6.5390625,193.48201064233163
endurance/air_hybrid/economy/precision,256,0.7734375,0.7183357093790331,0.8204540763981482,6.3515625,197.691873474827
endurance/air_hybrid/economy/cadence,256,0.76953125,0.7141855737618362,0.816907215075671,6.2890625,199.4601524688535
endurance/heavy/protection/cadence,256,0.7578125,0.7017711387942602,0.806230659224225,6.578125,183.05703232221728
aviation/air_hybrid/economy/cadence,256,0.75390625,0.6976446537147682,0.8026601473640429,6.27734375,211.21737651113568
aviation/air_hybrid/economy/precision,256,0.75390625,0.6976446537147682,0.8026601473640429,6.3203125,208.43365532856745
reinforced/torpedo/economy/precision,256,0.74609375,0.6894086206103858,0.7955021865890772,6.51171875,223.16716071966343
aviation/heavy/control/cadence,256,0.7421875,0.6852989013222897,0.7919149089374995,6.640625,192.26807399599048
aviation/heavy/control/precision,256,0.734375,0.6770956545136657,0.7847241618667753,6.6875,191.770589153577
fast/torpedo/economy/cadence,256,0.703125,0.6444881547852961,0.7557556860777528,6.47265625,207.09166765598815
reinforced/torpedo/protection/cadence,256,0.6953125,0.6363851497434322,0.7484646972402688,6.51953125,229.8183865046352
fast/torpedo/economy/precision,256,0.69140625,0.6323406743588921,0.7448121756851348,6.55078125,205.31375778766767
flexible/torpedo/protection/cadence,256,0.6875,0.6283008182604637,0.7411550348438891,6.6015625,216.2361829556199
flexible/torpedo/economy/precision,256,0.6796875,0.6202347782890922,0.7338270809359126,6.5390625,207.53899121428663
flexible/mixed/economy/cadence,256,0.66796875,0.6081692468079775,0.7228016215980052,6.6796875,194.46183367716284
flexible/mixed/economy/precision,256,0.66015625,0.600147440924096,0.7154294336025387,6.73046875,192.57099713060413
flexible/air_focus/control/precision,256,0.65625,0.5961429903472982,0.7117368872396624,6.16796875,219.6138621440524
